字段名称,中文名称,字段类型,字段说明
serial_number,序号,int,数据排序标识，用于区分不同记录
stock_code,股票代码,varchar(20),公司在证券市场的唯一标识代码
stock_abbr,股票简称,varchar(50),公司在证券市场的简称
asset_cash_and_cash_equivalents,资产-货币资金(万元),"decimal(20,2)",公司持有的现金及可随时用于支付的存款
asset_accounts_receivable,资产-应收账款(万元),"decimal(20,2)",公司因销售商品、提供劳务等应向购货单位或接受劳务单位收取的款项
asset_inventory,资产-存货(万元),"decimal(20,2)",公司持有以备出售的产成品或商品、处在生产过程中的在产品、在生产过程或提供劳务过程中耗用的材料和物料等
asset_trading_financial_assets,资产-交易性金融资产（万元）,"decimal(20,2)",公司为近期内出售而持有的金融资产，主要为银行理财产品
asset_construction_in_progress,资产-在建工程（万元）,"decimal(20,2)",公司正在建设尚未达到预定可使用状态的固定资产
asset_total_assets,资产-总资产(万元),"decimal(20,2)",公司报告期末全部资产的总额
asset_total_assets_yoy_growth,资产-总资产同比(%),"decimal(10,4)",报告期末总资产较上年期末的变动比例
liability_accounts_payable,负债-应付账款(万元),"decimal(20,2)",公司因购买材料、商品和接受劳务供应等经营活动应支付的款项
liability_advance_from_customers,负债-预收账款(万元),"decimal(20,2)",公司按照合同规定向购货单位预收的款项，报告期内无余额，填列0
liability_total_liabilities,负债-总负债(万元),"decimal(20,2)",公司报告期末全部负债的总额
liability_total_liabilities_yoy_growth,负债-总负债同比(%),"decimal(10,4)",报告期末总负债较上年期末的变动比例
liability_contract_liabilities,负债-合同负债（万元）,"decimal(20,2)",公司已收或应收客户对价而应向客户转让商品的义务
liability_short_term_loans,负债-短期借款（万元）,"decimal(20,2)",公司向银行或其他金融机构等借入的期限在1年以下（含1年）的各种借款
asset_liability_ratio,资产负债率(%),"decimal(10,4)",总负债/总资产×100%
equity_unappropriated_profit,股东权益-未分配利润（万元）,"decimal(20,2)",公司累计未分配的利润（或累计未弥补的亏损）
equity_total_equity,股东权益合计(万元),"decimal(20,2)",公司报告期末所有者权益总额
report_period,报告期,varchar(20),数据对应的会计期间。其中，FY=年报（FullYear），Q1=一季度，HY=半年度，Q3=三季度。
report_year,报告期-年份,INT,数据对应的年份。
