字段名称,中文名称,字段类型,字段说明
serial_number,序号,int,数据排序标识，用于区分不同记录
stock_code,股票代码,varchar(20),公司在证券市场的唯一标识代码
stock_abbr,股票简称,varchar(50),公司在证券市场的简称
net_cash_flow,净现金流(元),"decimal(20,2)",即现金及现金等价物净增加额
net_cash_flow_yoy_growth,净现金流-同比增长(%),"decimal(10,4)",本期净现金流较上年同期的变动比例
operating_cf_net_amount,经营性现金流-现金流量净额(万元),"decimal(20,2)",公司日常经营活动产生的现金流入与流出的差额
operating_cf_ratio_of_net_cf,经营性现金流-净现金流占比(%),"decimal(10,4)",经营性现金流净额占净现金流总额的比例
operating_cf_cash_from_sales,经营性现金流-销售商品收到的现金（万元）,"decimal(20,2)",公司通过销售商品、提供劳务实际收到的现金
investing_cf_net_amount,投资性现金流-现金流量净额(万元),"decimal(20,2)",公司投资活动产生的现金流入与流出的差额
investing_cf_ratio_of_net_cf,投资性现金流-净现金流占比(%),"decimal(10,4)",投资性现金流净额占净现金流总额的比例
investing_cf_cash_for_investments,投资性现金流-投资支付的现金（万元）,"decimal(20,2)",公司进行投资活动所支付的现金
investing_cf_cash_from_investment_recovery,投资性现金流-收回投资收到的现金（万元）,"decimal(20,2)",公司收回前期投资所收到的现金
financing_cf_cash_from_borrowing,融资性现金流-取得借款收到的现金（万元）,"decimal(20,2)",公司通过借款方式取得的现金
financing_cf_cash_for_debt_repayment,融资性现金流-偿还债务支付的现金（万元）,"decimal(20,2)",公司偿还前期借款所支付的现金
financing_cf_net_amount,融资性现金流-现金流量净额(万元),"decimal(20,2)",公司融资活动产生的现金流入与流出的差额
financing_cf_ratio_of_net_cf,融资性现金流-净现金流占比(%),"decimal(10,4)",融资性现金流净额占净现金流总额的比例
report_period,报告期,varchar(20),数据对应的会计期间。其中，FY=年报（FullYear），Q1=一季度，HY=半年度，Q3=三季度。
report_year,报告期-年份,INT,数据对应的年份。
