字段名称,中文名称,字段类型,字段说明
serial_number,序号,int,数据排序标识，用于区分不同记录
stock_code,股票代码,varchar(20),公司在证券市场的唯一标识代码
stock_abbr,股票简称,varchar(50),公司在证券市场的简称
net_profit,净利润(万元),"decimal(20,2)",公司报告期内实现的最终盈利或亏损总额
net_profit_yoy_growth,净利润同比(%),"decimal(10,4)",本期净利润较上年同期的变动比例
other_income,其他收益（万元）,"decimal(20,2)",公司报告期内取得的与日常经营活动相关但不属于营业收入的政府补助等收益
total_operating_revenue,营业总收入(万元),"decimal(20,2)",公司报告期内日常经营活动实现的全部收入总额
operating_revenue_yoy_growth,营业总收入同比(%),"decimal(10,4)",本期营业总收入较上年同期的变动比例
operating_expense_cost_of_sales,营业总支出-营业支出(万元),"decimal(20,2)",即营业成本，公司销售商品、提供劳务等日常经营活动发生的成本
operating_expense_selling_expenses,营业总支出-销售费用(万元),"decimal(20,2)",公司为销售商品和材料、提供劳务过程中发生的各项费用
operating_expense_administrative_expenses,营业总支出-管理费用(万元),"decimal(20,2)",公司为组织和管理企业生产经营所发生的费用
operating_expense_financial_expenses,营业总支出-财务费用(万元),"decimal(20,2)",公司为筹集生产经营所需资金等而发生的筹资费用
operating_expense_rnd_expenses,营业总支出-研发费用（万元）,"decimal(20,2)",公司进行研究与开发无形资产过程中发生的各项费用
operating_expense_taxes_and_surcharges,营业总支出-税金及附加（万元）,"decimal(20,2)",公司经营活动应负担的相关税费
total_operating_expenses,营业总支出(万元),"decimal(20,2)",公司报告期内发生的全部经营支出总额
operating_profit,营业利润(万元),"decimal(20,2)",公司报告期内日常经营活动实现的利润（亏损）
total_profit,利润总额(万元),"decimal(20,2)",公司报告期内实现的税前利润（亏损）总额
asset_impairment_loss,资产减值损失（万元）,"decimal(20,2)",公司计提各项资产减值准备所形成的损失
credit_impairment_loss,信用减值损失（万元）,"decimal(20,2)",公司计提各项金融工具信用减值准备所形成的损失
report_period,报告期,varchar(20),数据对应的会计期间。其中，FY=年报（FullYear），Q1=一季度，HY=半年度，Q3=三季度。
report_year,报告期-年份,INT,数据对应的年份。
